workbook_name,model_name,model_params,utility,accuracy,logit_roc_auc,true_pos,true_neg,false_pos,false_neg,timestamp
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=10, max_depth=2, max_feature=None",23.75179118,0.518896923,0.512046162,12151.4,2343,11337.2,2101.5,8/4/2021 7:56
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=10, max_depth=2, max_feature=sqrt",32.01933559,0.516781156,0.508622983,12938.3,1497,12183.2,1314.6,8/4/2021 7:57
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=10, max_depth=2, max_feature=log2",22.82985808,0.51538853,0.5066734,13256.8,1139.6,12540.6,996.1,8/4/2021 7:58
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=10, max_depth=2, max_feature=None",68.51812556,0.515878992,0.51754183,6245.1,8165,5515.2,8007.8,8/4/2021 8:02
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=10, max_depth=2, max_feature=sqrt",66.02990725,0.524589085,0.519962642,10614.8,4038.6,9641.6,3638.1,8/4/2021 8:03
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=10, max_depth=2, max_feature=log2",56.78908501,0.524535387,0.519970263,10666,3985.9,9694.3,3586.9,8/4/2021 8:04
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=10, max_depth=4, max_feature=None",176.3099741,0.529869546,0.527640392,9123.3,5677.6,8002.6,5129.6,8/4/2021 8:16
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=10, max_depth=4, max_feature=sqrt",85.78576986,0.527112977,0.522052771,11008.6,3715.3,9964.9,3244.3,8/4/2021 8:18
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=10, max_depth=4, max_feature=log2",79.8471647,0.524496016,0.5183169,11700,2950.8,10729.4,2552.9,8/4/2021 8:20
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=10, max_depth=4, max_feature=None",255.802489,0.534831416,0.533349789,8625.1,6314.4,7365.8,5627.8,8/4/2021 8:34
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=10, max_depth=4, max_feature=sqrt",174.2377206,0.535160781,0.531570803,10038.4,4910.3,8769.9,4214.5,8/4/2021 8:37
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=10, max_depth=4, max_feature=log2",130.9951954,0.532923282,0.528792694,10420,4466.2,9214,3832.9,8/4/2021 8:39
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=10, max_depth=8, max_feature=None",341.7472209,0.543724091,0.541861145,9023,6164.9,7515.3,5229.9,8/4/2021 8:53
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=10, max_depth=8, max_feature=sqrt",258.1749527,0.538823104,0.535801858,9761.1,5289.9,8390.3,4491.8,8/4/2021 8:57
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=10, max_depth=8, max_feature=log2",244.2392997,0.538064152,0.534848333,9845.2,5184.6,8495.6,4407.7,8/4/2021 9:00
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=10, max_depth=8, max_feature=None",657.3349127,0.562937873,0.561590061,8949.4,6775.2,6905,5303.5,8/4/2021 9:37
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=10, max_depth=8, max_feature=sqrt",626.0944721,0.564502312,0.562704621,9282,6486.3,7193.9,4970.9,8/4/2021 9:42
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=10, max_depth=8, max_feature=log2",538.5233053,0.559250476,0.557243569,9351.1,6270.5,7409.7,4901.8,8/4/2021 9:45
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=10, max_depth=16, max_feature=None",512.2570136,0.551392444,0.550423999,8525,6877.1,6803.1,5727.9,8/4/2021 9:53
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=10, max_depth=16, max_feature=sqrt",433.1455288,0.545614328,0.544320642,8667,6573.7,7106.5,5585.9,8/4/2021 9:59
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=10, max_depth=16, max_feature=log2",430.933324,0.544139401,0.542827601,8651.4,6548.1,7132.1,5601.5,8/4/2021 10:04
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=30, max_depth=2, max_feature=None",19.11635545,0.518202403,0.510819887,12438.6,2036.4,11643.8,1814.3,8/4/2021 10:31
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=30, max_depth=2, max_feature=sqrt",34.94818323,0.516777566,0.508595914,13054,1381.2,12299,1198.9,8/4/2021 10:35
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=30, max_depth=2, max_feature=log2",28.65694207,0.514371822,0.504975034,13735.7,632.3,13047.9,517.2,8/4/2021 10:37
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=30, max_depth=4, max_feature=None",166.0773522,0.530564069,0.528426514,9056.2,5764.1,7916.1,5196.7,8/4/2021 11:30
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=10, max_depth=16, max_feature=sqrt",1265.646069,0.616247367,0.615594939,9236,7977.7,5702.5,5016.9,8/4/2021 11:34
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=30, max_depth=4, max_feature=sqrt",108.422311,0.528122532,0.52245792,11422.4,3329.7,10350.5,2830.5,8/4/2021 11:37
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=10, max_depth=16, max_feature=log2",1118.68935,0.604863018,0.604069834,9161.6,7734.1,5946.1,5091.3,8/4/2021 11:39
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=30, max_depth=4, max_feature=log2",100.9276461,0.524707223,0.518236335,11903.3,2753.4,10926.8,2349.6,8/4/2021 11:42
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=30, max_depth=2, max_feature=None",70.21678763,0.517812192,0.518563974,6841.9,7622.2,6058,7411,8/4/2021 12:25
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=30, max_depth=2, max_feature=sqrt",65.91385202,0.524288367,0.520357096,10270.5,4374.5,9305.7,3982.4,8/4/2021 12:29
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=30, max_depth=2, max_feature=log2",68.63404181,0.524628457,0.520795413,10108.6,4545.9,9134.3,4144.3,8/4/2021 12:32
05E_tml_cv_pca_linear_svm,Linear SVM model PCA,"pca_n_components=110, iteration=10000",127.6129729,0.530309897,0.528088286,9085.5,5727.7,7952.5,5167.4,8/4/2021 14:39
05E_tml_cv_pca_linear_svm,Linear SVM model PCA,"pca_n_components=130, iteration=100",15.13613797,0.501397957,0.501300549,7261,6744.6,6935.6,6991.9,8/4/2021 14:44
05E_tml_cv_pca_linear_svm,Linear SVM model PCA,"pca_n_components=130, iteration=500",38.48716064,0.514099805,0.512995116,8097.7,6262.7,7417.5,6155.2,8/4/2021 15:06
05E_tml_cv_pca_linear_svm,Linear SVM model PCA,"pca_n_components=130, iteration=1000",106.6167404,0.526031823,0.524207253,8753.1,5940.6,7739.6,5499.8,8/4/2021 15:48
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=30, max_depth=4, max_feature=None",278.962998,0.534469844,0.533015218,8610.6,6318.8,7361.4,5642.3,8/4/2021 17:35
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=30, max_depth=4, max_feature=sqrt",145.5457535,0.535672716,0.531492116,10497.8,4465.2,9215,3755.1,8/4/2021 17:43
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=30, max_depth=4, max_feature=log2",137.1648758,0.534580815,0.530210525,10627.6,4304.9,9375.3,3625.3,8/4/2021 17:48
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=30, max_depth=8, max_feature=None",334.4789347,0.546731266,0.544856583,9087.2,6184.7,7495.5,5165.7,8/4/2021 17:52
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=30, max_depth=8, max_feature=sqrt",305.5439511,0.542413817,0.539146882,9984.3,5167,8513.2,4268.6,8/4/2021 18:04
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=30, max_depth=8, max_feature=log2",313.8592531,0.541057,0.537225367,10343.4,4770,8910.2,3909.5,8/4/2021 18:13
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=30, max_depth=8, max_feature=None",711.5906968,0.566929539,0.565297941,9176.5,6659.6,7020.6,5076.4,8/4/2021 20:32
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=30, max_depth=8, max_feature=sqrt",668.0503752,0.568544098,0.566612675,9434.1,6447.1,7233.1,4818.8,8/4/2021 20:46
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=30, max_depth=8, max_feature=log2",553.3471116,0.562354314,0.560044699,9598.1,6110.2,7570,4654.8,8/4/2021 20:55
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=30, max_depth=16, max_feature=None",678.6336833,0.568440306,0.567166593,8973.4,6904.9,6775.3,5279.5,8/4/2021 20:57
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=30, max_depth=16, max_feature=sqrt",572.403329,0.560166961,0.558469713,9143.2,6504,7176.2,5109.7,8/4/2021 21:17
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=30, max_depth=16, max_feature=log2",499.6720977,0.55775046,0.555953757,9192.4,6387.3,7292.9,5060.5,8/4/2021 21:33
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=10, max_depth=2, max_feature=None",31.09019574,0.519269244,0.511893966,12378,2126.8,11553.4,1874.9,8/4/2021 21:45
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=10, max_depth=2, max_feature=sqrt",34.95865936,0.516061577,0.507494662,13215.2,1200,12480.2,1037.7,8/4/2021 21:47
